NGH8,F,B,0,60374896,60374896,86.6,2
6EH8,F,B,0,60375113,60375113,146.61,17
6EH8,F,B,0,60375301,60375301,146.61,25
6CH8,F,B,0,60376243,60376243,99.08,10
6CH8,F,B,0,60376246,60376246,99.05,1
6CH8,F,B,0,60376256,60376256,99.06,10
6CM8,F,B,0,60376285,60376285,98.79,1
6CH8,F,B,0,60376288,60376288,99.06,20
6CM8,F,B,0,60376301,60376301,98.8,1
6JH8,F,A,0,60376370,60376370,92.97,43
RYH8,F,B,0,60376567,60376567,157.35,4
6JH8,F,A,0,60376597,60376597,92.97,18
RYH8,F,B,0,60376602,60376602,157.7,10
6JH8,F,B,0,60376615,60376615,92.94,18
6JH8,F,B,0,60376615,60376615,92.94,35
6JH8,F,B,0,60376619,60376619,92.94,43
6CH8,F,B,0,60376765,60376765,99.06,10
6CH8,F,B,0,60376768,60376768,99.05,1
6JH8,F,B,0,60376789,60376789,92.94,59
RYH8,F,A,0,60376790,60376790,157.81,10
6CM8,F,B,0,60376800,60376800,98.79,1
RYH8,F,B,0,60376800,60376800,157.71,10
RYH8,F,B,0,60376807,60376807,157.35,4
RYH8,F,B,0,60376835,60376835,157.71,10
6EH8,F,B,0,60376927,60376927,146.61,26
RYH8,F,A,0,60377008,60377008,157.8,10
6EH8,F,B,0,60377623,60377623,146.61,18
6EH8,F,B,0,60378043,60378043,146.61,2
6JH8,F,B,0,60378868,60378868,92.94,43
6JH8,F,B,0,60379042,60379042,92.94,26
6JH8,F,B,0,60379051,60379051,92.94,1
NGJ8-NGK8,F,B,0,60380236,60380236,-0.3,10
NGJ8-NGK8,F,A,0,60380236,60380236,0,100
6AH8,F,B,0,60382255,60382255,90.51,20
6AM8,F,B,0,60382276,60382276,89.33,1
6EH8,F,B,0,60385591,60385591,146.61,1
NGK8-NGM8,F,B,0,60386899,60386899,-0.6,5
NGK8-NGM8,F,A,0,60386899,60386899,-0.41,5
6SH8,F,B,0,60391031,60391031,91.42,9
6SH8,F,B,0,60391046,60391046,91.42,1
6SH8,F,B,0,60391080,60391080,91.42,19
6SH8,F,B,0,60391089,60391089,91.42,27
NGK8-NGM8,F,A,0,60391533,60391533,-0.41,10
6SH8,F,B,0,60392035,60392035,91.42,19
6SH8,F,B,0,60392061,60392061,91.42,1
6EH8,F,T,0,60392253,60392253,146.62,1
6EH8,F,A,0,60392253,60392253,146.62,1
6SH8,F,B,0,60392299,60392299,91.42,17
6CH8,F,A,0,60396383,60396383,99.1,1
6CM8,F,A,0,60396423,60396423,98.91,1
NGM8-NGN8,F,B,0,60397590,60397590,-0.81,5
CLH8-CLJ8,F,B,0,60398054,60398054,0.02,25
CLH8-CLJ8,F,A,0,60398054,60398054,0.07,2
CLJ8-CLK8,F,A,0,60398675,60398675,0.3,10
6SH8,F,B,0,60406529,60406529,91.42,1
6SH8,F,B,0,60406781,60406781,91.42,17
6AH8,F,A,0,60406802,60406802,90.58,17
6AM8,F,A,0,60406826,60406826,89.49,1
NGN8-NGQ8,F,B,0,60407284,60407284,-0.8,5
NGN8-NGQ8,F,A,0,60407284,60407284,-0.66,5
6AH8,F,A,0,60410283,60410283,90.57,10
6AM8,F,A,0,60410297,60410297,89.48,1
NGU0,F,B,0,60411123,60411123,75,8
6AH8,F,B,0,60413975,60413975,90.52,1
6AM8,F,B,0,60413989,60413989,89.34,1
6AH8,F,B,0,60414327,60414327,90.52,11
RYH8,F,A,0,60414980,60414980,158.2,2
RYH8,F,A,0,60415009,60415009,157.81,10
RYH8,F,A,0,60415296,60415296,158.2,2
RYH8,F,A,0,60415325,60415325,157.82,10
6AH8,F,A,0,60419833,60419833,90.58,17
6AM8,F,A,0,60419857,60419857,89.49,1
6SH8,F,B,0,60420127,60420127,91.42,1
6SH8,F,B,0,60420324,60420324,91.42,17
NGQ8-NGU8,F,B,0,60421387,60421387,-0.25,5
RYH8,F,B,0,60424801,60424801,157.72,10
6CH8,F,A,0,60425012,60425012,99.11,1
6EH8,F,T,0,60425023,60425023,146.61,1
6EH8,F,B,0,60425024,60425024,146.6,40
6CM8,F,A,0,60425043,60425043,98.92,1
E7H8,F,B,0,60425050,60425050,146.59,1
E7H8,F,A,0,60425050,60425050,146.63,1
6EM8,F,B,0,60425061,60425061,146.08,3
6EM8,F,A,0,60425061,60425061,146.14,1
6EM8,F,B,0,60425193,60425193,146.08,2
6EM8,F,B,0,60425197,60425197,146.08,1
ZNH8,F,B,0,60435578,60435578,116.453125,20
ZNH8,F,A,0,60435578,60435578,116.46875,20
NGJ8-NGK8,F,B,0,60436499,60436499,-0.2,10
CLK8-CLM8,F,B,0,60436889,60436889,0.31,25
CLK8-CLM8,F,A,0,60436889,60436889,0.39,10
6EH8,F,B,0,60437132,60437132,146.6,39
QMH8,F,B,0,60437395,60437395,950.5,1
QMH8,F,A,0,60437395,60437395,957.5,1
NGQ8-NGU8,F,A,0,60439173,60439173,-0.01,5
6AH8,F,B,0,60442404,60442404,90.53,10
6AM8,F,B,0,60442418,60442418,89.35,1
ZFH8,F,B,0,60443091,60443091,113.359375,12
ZFH8,F,A,0,60443091,60443091,113.359375,35
6NH8,F,B,0,60443307,60443307,78.64,10
6NH8,F,A,0,60443307,60443307,78.74,25
CLH8,F,B,0,60444719,60444719,95.95,1
CLH8,F,A,0,60444719,60444719,95.95,10
6AM8,F,B,0,60445863,60445863,89.33,1
NGU8-NGV8,F,B,0,60446623,60446623,-0.95,5
6SH8,F,A,0,60447863,60447863,91.44,2
6AH8,F,A,0,60448402,60448402,90.58,7
